Price_CLP;Price_UF;Price_USD;Comuna;Ubicacion;Dorms;Baths;Built Area;Total Area;Parking;id;Realtor
130000000;3653;161893;PuenteAlto;Microbarrio/ParqueCentralBrisasdelMaipo;3;2;77;93;1;11153840;Nexxos
1423244100;39990;1772409;LaReina;AlvaroCasanova-ElSendero;5;6;540;3500;13;11164674;Nexxos
310000000;8710;386052;Providencia;Starita;5;3;150;600;5;11113008;Nexxos
132000000;3709;164384;QuintaNormal;BrisasdelRíoQuintaNormal;4;1;102;202;2;6286791;Capó Gestión Inmobiliaria
800775000;22500;997229;Colina;santafilomena11200condominiolaspircascasa28;5;5;360;1700;6;11090033;Nexxos
160155000;4500;199446;PuenteAlto;coquimboconlosmañios;3;1;54;189;3;11100131;Nexxos
55000000;1545;68493;LaFlorida;mariaelenaconbahiainglesa;2;1;34;60;1;11101473;Nexxos
73000000;2051;90909;PuenteAlto;VillanevadosdelMaipo;3;1;70;134;;11163476;Unne
319598200;8980;398005;Colina;santaelena;3;3;121;373;2;11092460;Nexxos
170000000;4777;211706;Maipú;Maipú;4;3;144;158;2;11066996;Iroga Propiedades
129800000;3647;161644;Pudahuel;Casaenexcelentescondicionesendiagonaltravesiacasialllegaraclaudioarrau;3;2;75;120;2;11101299;Nexxos
1548165000;43500;1927976;Providencia;PosibilidaddeCowork;14;6;796;1230;10;11113364;Nexxos
419962000;11800;522991;Peñalolén;QuilínNorte/SanchezFontecilla;4;4;168;283;2;11509436;Grupo Premium Propiedades Santiago
1291917000;36300;1608863;LasCondes;ColinadelMirador-QuebradaHonda;5;6;385;866;4;11163800;Nexxos
640264100;17990;797340;LasCondes;Roncesvalles-ManquehueSur;4;3;210;500;5;11165484;Nexxos
460000000;12925;572852;Maipú;Granpropiedadapasosdeltemplovotivodemaipu;4;2;140;700;;11099796;Nexxos
1348861000;37900;1679777;Colina;LasBrisas1000;5;5;498;3800;;11089590;Nexxos
640264100;17990;797340;LoBarnechea;josealcaldeelano;6;4;190;508;2;9927071;Labbe &  Pollier
